Date,BW Pull Ups s,BW Pull Ups r,BW Pull Ups w,Bench s,Bench r,Bench w,Curling Bar Squats s,Curling Bar Squats r,Curling Bar Squats w,Curls s,Curls r,Curls w,BW Wall Sits s,BW Wall Sits r,BW Wall Sits w,BW In Outs s,BW In Outs r,BW In Outs w,Military Press s,Military Press r,Military Press w,One Handed Curls Each Side s,One Handed Curls Each Side r,One Handed Curls Each Side w,Runs s,Runs r,Runs w,BW Push Ups s,BW Push Ups r,BW Push Ups w,Clean s,Clean r,Clean w,Bench Incline s,Bench Incline r,Bench Incline w,One Arm Dumbell Row s,One Arm Dumbell Row r,One Arm Dumbell Row w,Bent Over Barbell Row s,Bent Over Barbell Row r,Bent Over Barbell Row w,One Arm One Side Curls Each Side s,One Arm One Side Curls Each Side r,One Arm One Side Curls Each Side w,BW Perfect Push Ups s,BW Perfect Push Ups r,BW Perfect Push Ups w,Sqauts in Rack s,Sqauts in Rack r,Sqauts in Rack w,Lat Pull Downs s,Lat Pull Downs r,Lat Pull Downs w,BW One Legged Squats s,BW One Legged Squats r,BW One Legged Squats w
1/2/2015,6,5,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2015,2,5,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2015,10,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2015,2,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2015,4,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2015,5,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2015,5,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2015,7,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2015,,,,4,5,115,4,10,60,2,5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2015,7,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2015,3,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2015,1,10,160,4,5,115,4,5,60,,,,1,30,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2015,4,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2015,3,10,160,,,,,,,,,,3,30,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2015,9,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2015,3,10,160,,,,,,,,,,2,15,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2015,3,15,160,,,,,,,,,,3,15,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2015,2,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
