Number,Date,Start time,End time,Duration,rel. Duration,Project,Description,,,,,
1,4/15/13,4:11 PM,4:31 PM,00:20:00,00:20:00,//TODO app,"There are a dozen apps with admirable interfaces , each with a tab, in my browser. ",,,,Normal,
2,4/25/13,2:14 PM,2:33 PM,00:19:00,00:19:00,//TODO app,Put down some basics on an interface concept.,-,,,Good,
2,4/25/13,2:53 PM,3:30 PM,00:37:00,00:37:00,//TODO app,Put down some basics on an interface concept.,-,,,Good,
1,2/16/13,7:02 PM,8:29 PM,01:27:00,01:27:00,ANT 206,Finished 2nd reading and quiz. Finished work sheet on primatilogy.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,-,
2,2/23/13,2:23 PM,4:15 PM,01:52:00,01:52:00,ANT 206,I basically skimmed and noted ,"4201-4721 Luce St, Allendale Charter Township, MI 49401",,,Bad,
3,2/23/13,7:39 PM,8:51 PM,01:12:00,01:12:00,ANT 206,I got through half the study guide. ,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Normal,
3,2/23/13,9:44 PM,11:31 PM,01:47:00,01:47:00,ANT 206,I got through half the study guide. ,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Normal,
4,2/24/13,6:22 PM,7:22 PM,01:00:00,01:00:00,ANT 206,Finished answering study guide questions. Contemplating emailing the professor to clear up specific questions.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Normal,
4,2/24/13,7:34 PM,9:23 PM,01:49:00,01:49:00,ANT 206,Finished answering study guide questions. Contemplating emailing the professor to clear up specific questions.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Normal,
5,2/25/13,6:21 PM,6:56 PM,00:35:00,00:35:00,ANT 206,Halfway through self testing. I'm going home cause I have a headache.,,,,Normal,
5,2/25/13,7:05 PM,7:08 PM,00:03:00,00:03:00,ANT 206,Halfway through self testing. I'm going home cause I have a headache.,,,,Normal,
6,2/25/13,8:47 PM,9:31 PM,00:44:00,00:44:00,ANT 206,I finished mentally answering and checking the study guide through.,"4832 W Campus Dr, Allendale Charter Township, MI 49401",,,Normal,
7,2/26/13,7:58 AM,8:15 AM,00:17:00,00:17:00,ANT 206,I looked over the first half again. I just want to take the test already.,,,,-,
8,2/26/13,8:08 PM,8:45 PM,00:37:00,00:37:00,ANT 206,I finished the bipedal caption packet.,,,,Good,
9,3/10/13,7:12 PM,7:46 PM,00:34:00,00:34:00,ANT 206,Halfway through a chapter while working out.,,,,Normal,
10,3/19/13,7:59 AM,8:29 AM,00:30:00,00:30:00,ANT 206,Reading and quiz,,,,Normal,
11,3/22/13,6:49 PM,7:08 PM,00:19:00,00:19:00,ANT 206,Almost 20 minutes just to answer 1 problem.,,,,Normal,
12,3/23/13,10:37 AM,12:00 PM,01:23:00,01:23:00,ANT 206,Finished the first section... Took about a third more time than anticipated.,,,,Bad,
12,3/23/13,12:16 PM,1:34 PM,01:18:00,01:18:00,ANT 206,Finished the first section... Took about a third more time than anticipated.,,,,Bad,
13,3/25/13,2:34 PM,3:03 PM,00:29:00,00:29:00,ANT 206,I finished the study guide. ,,,,Normal,
13,3/25/13,3:11 PM,3:25 PM,00:14:00,00:14:00,ANT 206,I finished the study guide. ,,,,Normal,
13,3/25/13,3:34 PM,4:54 PM,01:20:00,01:20:00,ANT 206,I finished the study guide. ,,,,Normal,
14,4/2/13,7:35 AM,8:28 AM,00:53:00,00:53:00,ANT 206,Finished the worksheet due today.,,,,Good,
15,4/3/13,4:24 PM,4:43 PM,00:19:00,00:19:00,ANT 206,Finished the Peking man quiz.,,,,Good,
16,4/8/13,10:04 AM,10:05 AM,00:01:00,00:01:00,ANT 206,,,,,-,
16,4/8/13,10:04 AM,10:14 AM,00:10:00,00:10:00,ANT 206,Finished the readings for the week.,,,,-,
16,4/8/13,10:29 AM,10:48 AM,00:19:00,00:19:00,ANT 206,Finished the readings for the week.,,,,-,
18,4/12/13,12:02 PM,12:40 PM,00:38:00,00:38:00,ANT 206,Five questions from the review done.,,,,Normal,
19,4/14/13,6:53 PM,7:15 PM,00:22:00,00:22:00,ANT 206,I finished the first section if the final study guide.,,,,Good,
20,4/15/13,10:00 AM,10:32 AM,00:32:00,00:32:00,ANT 206,Finished the worksheet. ,,,,Good,
21,4/15/13,2:58 PM,3:25 PM,00:27:00,00:27:00,ANT 206,Read and quized the reading.,,,,Good,
22,4/23/13,6:34 PM,7:37 PM,01:03:00,01:03:00,ANT 206,I tried to study some.,,,,-,
1,2/13/13,11:49 AM,12:13 PM,00:24:00,00:24:00,Cs 163,"I put icons in P2 GUI and started lab 5
",,,,-,4:38:00
2,2/13/13,9:44 PM,10:56 PM,01:12:00,01:12:00,Cs 163,Nearly finished project 2,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Good,4:38:00
3,2/14/13,9:34 PM,9:52 PM,00:18:00,00:18:00,Cs 163,Attempted to finish project 2 but ultimately added nothing to it but some message dialog boxes for winning and double placing. I decided to turn it in unfinished and take the low score. I'm expecting like a 50 or something maybe a little higher.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Very bad,
4,2/17/13,5:02 PM,7:38 PM,02:36:00,02:36:00,Cs 163,Nearly finished project 2. The check first win works adequately and the radio buttons perform. All I need to do is fulfill one challenge requirment. ,"10295 48th Ave, Allendale Charter Township, MI 49401",,,-,
5,2/18/13,9:29 AM,9:55 AM,00:26:00,00:26:00,Cs 163,Submitted lab 5.,,,,-,
6,2/18/13,6:13 PM,7:46 PM,01:33:00,01:33:00,Cs 163,Finished and submitted project 2 to blackboard.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Good,
7,2/26/13,12:27 PM,1:50 PM,01:23:00,01:23:00,Cs 163,,,,,-,
