Number,Date,Start time,End time,Duration,rel. Duration,Project,Description,Location,Notes,Tags,Feeling
1,8/26/13,10:33 AM,10:48 AM,00:15:00,00:15:00,MTH 325,Read half of 4.3,,,,-
1,8/26/13,10:52 AM,11:11 AM,00:19:00,00:19:00,MTH 325,Read half of 4.3,,,,-
2,8/26/13,11:43 AM,12:49 PM,01:06:00,01:06:00,MTH 325,Got really confused on recursion.,,,,Good
3,8/28/13,7:41 AM,7:56 AM,00:15:00,00:15:00,MTH 325,I'm so confused.,"Pearl St NW & U.S. 131 & Scribner Ave NW, Grand Rapids, MI 49504",,,Very bad
4,8/28/13,8:23 AM,8:38 AM,00:15:00,00:15:00,MTH 325,I finished a problem.,,,,Normal
5,8/28/13,12:03 PM,12:42 PM,00:39:00,00:39:00,MTH 325,Cleaned my email and ordered a parking permit then did one problem. I got stuck on the next one and decided to go poop.,,,,Bad
6,8/28/13,1:18 PM,1:20 PM,00:02:00,00:02:00,MTH 325,Nothing,,,,-
7,8/30/13,12:11 PM,12:50 PM,00:39:00,00:39:00,MTH 325,"Read most of 4.4
",,,,Good
8,9/1/13,11:58 AM,1:51 PM,01:53:00,01:53:00,MTH 325,Tried 4.3 homework... Wasntbsure if I did any if it correctly.,"251-299 Logan St SE, Grand Rapids, MI 49503",,,-
9,9/1/13,5:09 PM,6:23 PM,01:14:00,01:14:00,MTH 325,Went back and conquered 6 a of 4.3 then git stuck on 6 b.,"251-299 Logan St SE, Grand Rapids, MI 49503",,,-
10,9/3/13,4:47 PM,4:55 PM,00:08:00,00:08:00,MTH 325,I did not feel like doing anything today.,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
11,9/4/13,11:02 AM,11:05 AM,00:03:00,00:03:00,MTH 325,I tries to read,"Ravine Trail, Grand Valley State university Children's Enrichment Center, Allendale Charter Township, MI 49401",,,-
12,9/10/13,7:19 AM,7:22 AM,00:03:00,00:03:00,MTH 325,Too stuck need help,,,,-
12,9/10/13,7:27 AM,7:50 AM,00:23:00,00:23:00,MTH 325,Too stuck need help,,,,-
12,9/10/13,7:58 AM,8:10 AM,00:12:00,00:12:00,MTH 325,Too stuck need help,,,,-
13,9/10/13,5:34 PM,6:41 PM,01:07:00,01:07:00,MTH 325,"I tried
",,,,-
14,9/12/13,12:22 PM,12:25 PM,00:03:00,00:03:00,MTH 325,Got some done.,,,,-
14,9/12/13,12:55 PM,1:58 PM,01:03:00,01:03:00,MTH 325,Got some done.,,,,-
14,9/12/13,2:24 PM,2:39 PM,00:15:00,00:15:00,MTH 325,Got some done.,,,,-
15,9/12/13,7:38 PM,8:04 PM,00:26:00,00:26:00,MTH 325,"I tried. Did a little of a worksheet, have to sleep now.",,,,-
16,9/13/13,10:20 AM,10:53 AM,00:33:00,00:33:00,MTH 325,"Finished 4.4, and almost done with 9.2",,,,-
16,9/13/13,11:07 AM,11:51 AM,00:44:00,00:44:00,MTH 325,"Finished 4.4, and almost done with 9.2",,,,-
17,9/16/13,11:12 AM,11:46 AM,00:34:00,00:34:00,MTH 325,Finished 9.1,,,,Normal
18,9/16/13,5:31 PM,5:47 PM,00:16:00,00:16:00,MTH 325,Two problems,,,,-
19,9/17/13,11:33 AM,1:34 PM,02:01:00,02:01:00,MTH 325,Finished 9.2,,,,Good
20,9/17/13,3:09 PM,3:40 PM,00:31:00,00:31:00,MTH 325,Looked up last problem in 9.2 and started reading 10.1,,,,Good
21,9/17/13,5:46 PM,5:47 PM,00:01:00,00:01:00,MTH 325,can't read on the bus,,,,-
22,9/17/13,9:38 PM,10:00 PM,00:22:00,00:22:00,MTH 325,Two problems.,,,,-
23,9/18/13,7:36 AM,7:51 AM,00:15:00,00:15:00,MTH 325,Making my way through 5 in 7.1,,,,-
23,9/18/13,8:09 AM,8:50 AM,00:41:00,00:41:00,MTH 325,Making my way through 5 in 7.1,,,,-
24,9/19/13,6:06 PM,7:06 PM,01:00:00,01:00:00,MTH 325,Read a little bit about Hanoi.,,,,-
25,9/20/13,11:16 AM,11:59 AM,00:43:00,00:43:00,MTH 325,Submitted an unnecessary assignment. Got a couple other problems done.,,,,-
26,9/20/13,5:13 PM,6:02 PM,00:49:00,00:49:00,MTH 325,Did problem 8 section 7.1 and part of 9,,,,-
27,9/21/13,12:23 PM,1:20 PM,00:57:00,00:57:00,MTH 325,Just a few problems and submitted a homework,,,,-
27,9/21/13,1:39 PM,1:42 PM,00:03:00,00:03:00,MTH 325,Just a few problems and submitted a homework,,,,-
27,9/21/13,2:19 PM,2:51 PM,00:32:00,00:32:00,MTH 325,Just a few problems and submitted a homework,,,,-
28,9/22/13,6:07 PM,7:12 PM,01:05:00,01:05:00,MTH 325,I tried but the pressure is too high.,,,,-
29,9/23/13,8:00 AM,8:25 AM,00:25:00,00:25:00,MTH 325,Finished test.,,,,-
29,9/23/13,8:47 AM,9:00 AM,00:13:00,00:13:00,MTH 325,Finished test.,,,,-
29,9/23/13,9:29 AM,10:25 AM,00:56:00,00:56:00,MTH 325,Finished test.,,,,-
29,9/23/13,10:35 AM,10:41 AM,00:06:00,00:06:00,MTH 325,Finished test.,,,,-
30,9/25/13,10:44 AM,11:58 AM,01:14:00,01:14:00,MTH 325,I'm trying,,,,-
31,9/25/13,1:10 PM,1:44 PM,00:34:00,00:34:00,MTH 325,Too frustrated,,,,-
32,9/26/13,10:57 AM,12:08 PM,01:11:00,01:11:00,MTH 325,Turned in four re submits. Worked on 7.1 a trite.,,,,-
33,9/26/13,1:33 PM,3:51 PM,02:18:00,02:18:00,MTH 325,I didn't get much done.,,,,-
34,9/27/13,11:43 AM,12:43 PM,01:00:00,01:00:00,MTH 325,"Did some 7.1, 7.2, and submitted hw 5",,,,-
35,9/27/13,1:09 PM,1:10 PM,00:01:00,00:01:00,MTH 325,Did some more 7.2,,,,-
35,9/27/13,1:24 PM,1:47 PM,00:23:00,00:23:00,MTH 325,Did some more 7.2,,,,-
36,9/28/13,2:53 PM,4:18 PM,01:25:00,01:25:00,MTH 325,Finished problem 3 in 7.2,,,,-
37,9/28/13,5:36 PM,6:28 PM,00:52:00,00:52:00,MTH 325,Made it to 11 in 7.2 and then got stuck.,,,,-
37,9/28/13,6:30 PM,7:06 PM,00:36:00,00:36:00,MTH 325,Made it to 11 in 7.2 and then got stuck.,,,,-
38,9/28/13,10:19 PM,10:56 PM,00:37:00,00:37:00,MTH 325,Number 12.,,,,Good
39,9/30/13,8:02 AM,8:07 AM,00:05:00,00:05:00,MTH 325,I attempted to start reading but...,,,,Bad
40,10/11/13,11:07 AM,11:59 AM,00:52:00,00:52:00,MTH 325,Hw 5.1 thru problem 22,"10738-10796 S Campus Dr, Allendale Charter Township, MI 49401",,,-
41,10/17/13,3:04 PM,3:28 PM,00:24:00,00:24:00,MTH 325,On 19 for 5.1,,,,-
41,10/17/13,3:41 PM,4:02 PM,00:21:00,00:21:00,MTH 325,On 19 for 5.1,,,,-
42,10/17/13,5:36 PM,5:48 PM,00:12:00,00:12:00,MTH 325,Little bus time utilized. Got to 22,,,,-
43,10/17/13,9:14 PM,9:52 PM,00:38:00,00:38:00,MTH 325,Got through forty one,,,,-
44,10/18/13,10:36 AM,11:54 AM,01:18:00,01:18:00,MTH 325,Finished 5.1,,,,-
